"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8";"XDCR_HTS221";1;"HTS221";;;
2;"B1";"SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm";1;"SW-PUSH-CMS_BLUE";;;
3;"B2";"SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm";1;"SW-PUSH-CMS_BLACK";;;
4;"C33,C43,C44,C13,C1,C45,C34,C16,C19,C20,C21,C12,C11,C10,C9,C23,C7,C25,C26,C6,C28,C73,C42,C5,C36,C3,C30,C31";"C_0402_1005Metric";28;"100nF";;;
5;"C47";"C_0402_1005Metric";1;"2.2uF";;;
6;"C15,C14";"C_0402_1005Metric";2;"5.1pF";;;
7;"C8,C24";"C_0402_1005Metric";2;"1uF";;;
8;"C35";"C_0402_1005Metric";1;"10pF";;;
9;"C41,C49,C40,C38,C50,C39";"C_0603_1608Metric";6;"10uF";;;
10;"C29,C75,C76";"C_0603_1608Metric";3;"2.2uF";;;
11;"C32,C18,C27";"C_0603_1608Metric";3;"4.7uF";;;
12;"C17,C22";"C_0603_1608Metric";2;"10uf";;;
13;"C37";"C_0603_1608Metric";1;"10pF";;;
14;"CN4";"PinHeader_1x06_P1.00mm_Horizontal";1;"Header 6X1_Female_SMD";;;
15;"CN2,CN3";"PinHeader_1x08_P1.00mm_Horizontal";2;"Header 8X1_Female_SMD";;;
16;"CN1";"PinHeader_1x10_P1.00mm_Horizontal";1;"Header 10X1_Female_SMD";;;
17;"JP4";"PinHeader_2x05_P2.54mm_Horizontal";1;"HEADER_2X5";;;
18;"CN6";"PinHeader_2x06_P2.54mm_Horizontal";1;"HEADER_2X6_PMOD";;;
19;"M2";"INVENTEK_ISM43362-M3G-L44-E_C2.5.0.3_SPI";1;"ISM43362-M3G-L44";;;
20;"L1";"L_0603_1608Metric";1;"FCM1608KF-601T03";;;
21;"SB3,SB15,SB14,SB18,SB17,SB13,SB21,SB1,SB2,SB4";"SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm";10;"Close";;;
22;"SB16,SB12,SB9,SB20,SB19";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";5;"Open";;;
23;"LD5";"LED_0603_1608Metric";1;"LED BLUE";;;
24;"LD4";"LED_0603_1608Metric";1;"LED YELLOW";;;
25;"LD3,LD2,LD1";"LED_0603_1608Metric";3;"LED GREEN";;;
26;"U7";"LGA10R50P2X3_200X200X80";1;"LPS22HB";;;
27;"U12";"SOT230P700X180-4N";1;"LT1963EST-3.3";;;
28;"X2";"XTAL_NX3215SA-32.768K-STD-MUA-8";1;"NX3215SA-32.768K";;;
29;"U5";"LGA-12_2x2mm_P0.5mm";1;"LIS3MDL";;;
30;"U3";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DSL";;;
31;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32L475VGTx";;;
32;"U13";"SOT-223-3_TabPin2";1;"LD1117S50TR";;;
33;"U14";"SOT-223-3_TabPin2";1;"LD1117S33TR";;;
34;"M1";"ST_SPBTLE";1;"BT Module";;;
35;"R66,R65,R64";"R_0402_1005Metric";3;"Not Fitted (10k)";;;
36;"R8,R11";"R_0402_1005Metric";2;"2K2";;;
37;"R2,R4,R1,R12";"R_0402_1005Metric";4;"0R";;;
38;"R14,R16";"R_0402_1005Metric";2;"10K";;;
39;"R13,R6";"R_0402_1005Metric";2;"10k";;;
40;"R33,R34,R35,R32";"R_0402_1005Metric";4;"22R";;;
41;"R3";"R_0402_1005Metric";1;"1k";;;
42;"R22";"R_0402_1005Metric";1;"680R";;;
43;"R18,R19,R21,R24";"R_0402_1005Metric";4;"1K";;;
44;"R20,R25";"R_0402_1005Metric";2;"330R";;;
45;"R23";"R_0402_1005Metric";1;"100k";;;
46;"R38";"R_0402_1005Metric";1;"200k";;;
47;"R10,R9";"R_0402_1005Metric";2;"2k2";;;
48;"R26";"R_0402_1005Metric";1;"47K";;;
49;"HW1,HW3,HW2,HW4";"Samtec-SNT-100-BK-G-MFG";4;"SHUNT_BK";;;
50;"M3";"XCVR_SPSGRF-868";1;"SPSGRF";;;
51;"U4,U2";"Knowles_LGA-5_3.5x2.65mm";2;"Mic";;;
52;"CN5";"TAG-CONNECT_TC2050-IDC-NL";1;"TC2050-IDC-NL";;;
53;"U10";"SOT95P280X145-5N";1;"TSV631AILT";;;
54;"JP6,JP5,JP7";"SAMTEC_TSW-102-07-G-S";3;"TSW-102-07-G-S";;;
55;"TP1,TP2,TP4,TP5,TP3";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";5;"TestPoint_Small";;;
56;"U6";"SENSOR_VL53L0X";1;"VL53L0X";;;
